id;nom_dep;violence;destruction_degradation;homicides;vols;viols_crimes_sexuels;autres;stupefiants;falsification_escroquerie_fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_dept;code_dept;nom_reg;code_reg
32;GIRONDE;61912;89354;63401;641822;14351;45305;46209;107933;1005235;689513;1549622;1500992;20505,53191;212939;553803;381501;8539,848485;0,326030303;GIRONDE;33;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
10;BAS-RHIN;43354;36474;30740;178649;7860;22127;24372;55225;479511;464004;1078170;1107855;24037,01172;168365;400485;252777;8412,804878;0,336012195;BAS-RHIN;67;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
39;LANDES;7976;7474;7256;79531;2341;9779;13204;16966;935362;181946;404575;396144;20355,94937;66918;173528;77339;8606,052632;0,320736842;LANDES;40;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
85;NORD;505922;529971;459169;3591747;92440;207066;457097;609231;575481;1048291;2503311;2595536;21112,57764;462643;855550;509667;7927,860262;0,374292576;NORD;59;NORD-PAS-DE-CALAIS-PICARDIE;32
16;AISNE;34026;28121;24784;155810;7304;24030;11822;36937;740711;218518;509698;538731;19968,62974;;;;;;AISNE;2;NORD-PAS-DE-CALAIS-PICARDIE;32
3;MORBIHAN;12002;12798;11842;95953;3344;9607;7179;21744;685842;336941;745331;732442;20252,01613;113392;303684;149811;9092,924528;0,282386792;MORBIHAN;56;BRETAGNE;53
31;ALLIER;7659;7078;6565;40602;1625;5725;7254;11890;737800;157948;328875;343328;18992,05788;;;;;;ALLIER;3;AUVERGNE-RHONE-ALPES;84
25;PYRENEES-ORIENTALES;7328;5485;6420;65154;1757;5762;5455;11555;413631;213726;455496;462705;18758,11429;87109;186678;89074;8086,785714;0,361803571;PYRENEES-ORIENTALES;66;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
13;EURE-ET-LOIR;13252;9481;9211;56861;2606;10858;9178;15369;593001;178564;424921;422750;22511,6338;82783;162855;73894;8365,294118;0,339794118;EURE-ET-LOIR;28;CENTRE-VAL DE LOIRE;24
46;OISE;22384;23914;17801;156772;5060;20446;11011;29602;588765;322799;801458;812885;22993,63636;151068;292208;150264;8525,507246;0,327144928;OISE;60;NORD-PAS-DE-CALAIS-PICARDIE;32
11;PYRENEES-ATLANTIQUES;13596;15344;12967;104479;3238;11070;10208;23160;768018;305045;659905;663827;20648,48;92325;264241;160978;8581,296296;0,322722222;PYRENEES-ATLANTIQUES;64;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
63;VAL-DE-MARNE;19898;18159;16328;152458;2338;10538;16359;33163;24467;554134;1349248;1354005;24636,59574;199701;379532;384716;7893,829787;0,377;VAL-DE-MARNE;94;ILE-DE-FRANCE;11
