id;nom_tj;violence;destruction degradation;homicides;vols;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv
103;Tribunal de Grande Instance de Brive-la-Gaillarde;1624;952;1344;11648;416;1656;1152;3336;152968;59501;127211;129304;20139,89691;22917;53828;24507;9035;0,2868
140;Tribunal de Grande Instance de Caen;38018;39761;28438;194747;8699;21771;26678;51046;390835;229123;516998;520924;21646,05042;93154;191789;109184;8645,6;0,31762
154;Tribunal de Grande Instance de Cahors;4845;2575;3469;30827;1242;4837;4378;7916;522453;77235;161489;170301;19699,8951;31586;72706;34837;8082,222222;0,362111111
32;Tribunal de Grande Instance de Cambrai;5848;3303;5799;23765;1195;6499;3022;5912;90261;66421;156928;162607;19510,6087;32843;61792;24166;7568,75;0,40275
29;Tribunal de Grande Instance de Carcassonne;4718;3596;4018;26825;1063;3892;4382;5171;456302;86932;190218;205909;18033,78261;38979;82697;38772;7697;0,3924
10;Tribunal de Grande Instance de Carpentras;1793;1152;1483;12980;322;1482;1727;2514;184962;97223;228585;224783;20522;44244;85262;41737;8442,142857;0,333714286
71;Tribunal de Grande Instance de Castres;326;544;206;2598;61;353;149;450;306039;84642;192482;194488;20121,42857;38413;75964;36368;8411,5;0,33615
111;Tribunal de Grande Instance de Châlons-en-Champagne;16086;14583;11601;76794;2957;9898;8497;17123;648077;106655;240868;255940;22049,63483;52487;99729;38528;8135,384615;0,357846154
104;Tribunal de Grande Instance de Chalon-sur-Saône;5305;5036;4554;34080;1271;4761;4090;8576;490415;149727;326824;342878;20880,41667;67222;140529;55003;8453,076923;0,332807692
99;Tribunal de Grande Instance de Chambéry;4504;6350;4236;42087;1230;3286;3623;9019;163206;119028;270038;266435;23442,58503;35528;99720;68597;8938;0,29468
91;Tribunal de Grande Instance de Charleville-Mézières;11420;8281;7331;36043;2007;6266;6323;7993;524423;113746;256809;279022;19759,58457;;;;;
92;Tribunal de Grande Instance de Chartres;13252;9481;9211;56861;2606;10858;9178;15369;593001;178564;424921;422750;22511,6338;82783;162855;73894;8365,294118;0,339794118
73;Tribunal de Grande Instance de Châteauroux;7260;5398;5798;43531;2026;5467;4013;11611;689760;101436;210984;227693;18929,07895;50308;93525;31761;8451,875;0,333
89;Tribunal de Grande Instance de Chaumont;7469;6226;6371;36393;2151;5750;3933;11807;625405;74001;160034;181094;19951,76692;39692;73140;24373;7627;0,398
127;Tribunal de grande instance de Cherbourg;694;510;590;2361;209;339;335;712;166085;82357;183131;178269;20496;33750;76549;32983;8739;0,3104
