id;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_reg;code_reg;nom_tj;violence;destruction degradation;homicides;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;siege;parquet;total_magistrat
37;114776;68697;156564;162171;21978.77049180328;32731;68083;24415;7757.6;0.3878000000000001;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Briey;4648;5525;3461;720;3430;5258;3249;10;4;14
38;152968;59501;127211;129304;20139.896907216495;22917;53828;24507;9035;0.28679999999999994;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Brive-la-Gaillarde;1624;952;1344;416;1656;1152;3336;11;3;14
39;390835;229123;516998;520924;21646.050420168067;93154;191789;109184;8645.6;0.3176200000000001;NORMANDIE;28;Tribunal de Grande Instance de Caen;38018;39761;28438;8699;21771;26678;51046;34;11;45
40;522453;77235;161489;170301;19699.895104895106;31586;72706;34837;8082.222222222223;0.3621111111111111;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Cahors;4845;2575;3469;1242;4837;4378;7916;10;3;13
41;90261;66421;156928;162607;19510.608695652176;32843;61792;24166;7568.75;0.40275;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Cambrai;5848;3303;5799;1195;6499;3022;5912;11;4;15
42;456302;86932;190218;205909;18033.782608695652;38979;82697;38772;7697;0.3924;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Carcassonne;4718;3596;4018;1063;3892;4382;5171;11;4;15
43;184962;97223;228585;224783;20522;44244;85262;41737;8442.142857142857;0.33371428571428574;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Carpentras;1793;1152;1483;322;1482;1727;2514;14;4;18
44;306039;84642;192482;194488;20121.428571428572;38413;75964;36368;8411.5;0.3361499999999999;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Castres;326;544;206;61;353;149;450;10;3;13
45;648077;106655;240868;255940;22049.634831460673;52487;99729;38528;8135.384615384615;0.3578461538461539;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Châlons-en-Champagne;16086;14583;11601;2957;9898;8497;17123;15;6;21
46;490415;149727;326824;342878;20880.416666666668;67222;140529;55003;8453.076923076924;0.3328076923076923;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Chalon-sur-Saône;5305;5036;4554;1271;4761;4090;8576;20;7;27
47;163206;119028;270038;266435;23442.585034013606;35528;99720;68597;8938;0.29468000000000005;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Chambéry;4504;6350;4236;1230;3286;3623;9019;17;6;23
48;524423;113746;256809;279022;19759.58456973294;;;;;;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Charleville-Mézières;11420;8281;7331;2007;6266;6323;7993;18;6;24
49;593001;178564;424921;422750;22511.6338028169;82783;162855;73894;8365.29411764706;0.3397941176470588;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Chartres;13252;9481;9211;2606;10858;9178;15369;24;8;32
50;689760;101436;210984;227693;18929.07894736842;50308;93525;31761;8451.875;0.333;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Châteauroux;7260;5398;5798;2026;5467;4013;11611;15;5;20
51;625405;74001;160034;181094;19951.766917293233;39692;73140;24373;7627;0.398;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Chaumont;7469;6226;6371;2151;5750;3933;11807;12;5;17
52;166085;82357;183131;178269;20496;33750;76549;32983;8739;0.3104;NORMANDIE;28;Tribunal de grande instance de Cherbourg;694;510;590;209;339;335;712;10;4;14
53;801745;286316;618857;639389;20394.199535962878;100085;244007;140702;8594.222222222223;0.32168888888888886;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Clermont-Ferrand;10968;15861;9750;2242;6522;5808;22898;39;13;52
54;235149;157818;366574;370616;24275.247524752474;59651;146371;78033;8687.941176470587;0.314264705882353;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Colmar;6069;4165;4324;1494;4552;2787;7150;29;7;36
55;128163;73046;175447;180891;22247.272727272728;32799;63913;35311;8362;0.34;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Compiègne;1962;1815;1605;435;1560;1659;2529;10;4;14
56;437509;133772;291686;292622;19400.6529209622;69538;122222;46256;8700.29411764706;0.3134117647058824;NORMANDIE;28;Tribunal de Grande Instance de Coutances;5990;5444;5998;2475;6406;5329;12763;16;5;21
57;24467;554134;1349248;1354005;24636.59574468085;199701;379532;384716;7893.829787234043;0.377;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Créteil;19898;18159;16328;2338;10538;16359;33163;92;33;125
58;268896;66589;138232;142971;18774.125874125875;;;;;;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Cusset;3150;2617;2680;665;2509;2160;4807;10;3;13
59;319906;101840;226797;217269;20710.39735099338;36111;95382;44651;8751.25;0.3093333333333333;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Dax;6856;6220;6324;2063;8817;12182;15338;10;4;14
60;275724;89452;204331;211321;20069.776951672862;49607;81484;27683;7885.625;0.37756249999999997;NORMANDIE;28;Tribunal de Grande Instance de Dieppe;8212;6279;8485;1997;8479;6601;11026;11;4;15
61;1474;0;0;80;0;13;38;12;0;0;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Digne-les-Bains;4619;3447;2868;865;4539;5346;5783;10;3;13
62;879890;221393;485079;527775;21998.804554079696;84714;190122;114678;8264.583333333334;0.34783333333333327;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Dijon;16470;17153;13785;4644;17353;16207;27322;30;10;40
63;47685;99020;241683;247279;20701.40625;47028;91942;39027;7967.1875;0.37118749999999995;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Douai;54504;44640;51948;9288;28332;47592;62388;19;6;25
64;472534;214341;480514;466171;20612.434782608696;78932;196873;95969;8324;0.34305;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Draguignan;6285;2767;4993;1035;4868;4425;9903;31;11;42
65;144979;154269;368727;377081;21110.18018018018;73044;139612;62769;8641.142857142857;0.3179714285714287;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Dunkerque;24057;28961;23482;5566;21031;24555;27695;21;7;28
66;490781;65925;139837;152495;18613.36283185841;;;;;;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Foix;5552;4573;4461;1733;6337;3826;8081;10;3;13
67;140802;76414;184375;177809;24682.1875;30804;64232;40128;8395;0.33740909090909094;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Fontainebleau;7710;6556;6767;1124;9615;8836;9635;9;4;13
68;569736;63014;133859;138001;19857.372262773722;;;;;;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Gap;714;608;654;184;587;1895;1351;9;3;12
69;124040;266784;575803;560338;23447.35849056604;;;;;;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Grasse;3937;3206;3257;561;2758;2653;6176;46;15;61
70;514149;320399;731354;752923;23444.555984555984;103551;227305;206239;8819.047619047618;0.3040476190476189;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Grenoble;24498;29999;18339;4078;18356;12538;29634;42;14;56
71;559795;54478;109243;119713;17797.304347826088;25535;52213;18446;7446.666666666667;0.41250000000000003;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Guéret;1067;619;601;182;1026;636;2796;8;3;11
72;225682;168217;361653;355044;21236.4;57381;145794;75243;8927.708333333334;0.29535416666666664;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de La Rochelle;6803;8953;6243;1936;4928;6823;11701;22;8;30
73;465959;168559;399785;396903;19609.83146067416;71277;170188;70984;9522.641509433963;0.2485094339622641;PAYS DE LA LOIRE;52;Tribunal de Grande Instance de la Roche-sur-Yon;5386;4154;5027;1842;5504;3691;9845;18;5;23
74;356171;85511;198504;213939;19294.42996742671;;;;;;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Laon;16356;14370;11856;3414;12171;5658;17325;16;5;21
75;521249;124293;290330;296916;19036.3179916318;61599;115768;48171;9069.62962962963;0.2841851851851852;PAYS DE LA LOIRE;52;Tribunal de Grande Instance de Laval;8086;6524;6158;2218;6670;7442;13608;15;4;19
76;200046;92091;215665;214089;19863.8202247191;41537;89251;34297;8216.4;0.35148;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Libourne;8527;5921;6461;2270;7200;3667;9222;11;4;15
77;88133;496355;1177221;1227051;24847.016129032258;195761;346818;296992;8261.842105263158;0.3479342105263159;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Lille;293124;332696;267696;57668;112372;325572;417300;91;35;126
78;555699;165857;348176;374123;19384.375;65473;142264;73895;8521.153846153846;0.32750000000000007;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Limoges;6080;4800;5348;1679;3668;4813;10639;24;7;31
79;168063;63783;138550;138293;21949.04411764706;30629;58419;22952;8462;0.3321333333333333;NORMANDIE;28;Tribunal de Grande Instance de Lisieux;1945;2828;1396;314;1619;2589;3360;10;3;13
80;503943;111127;245809;254999;21617.175572519085;46343;105286;45892;8336.25;0.34231249999999996;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Lons-le-Saunier;12391;8278;9179;3587;10876;8616;17346;16;5;21
81;326223;187425;409165;404654;20300;63140;167988;81328;9080.172413793103;0.28336206896551724;BRETAGNE;53;Tribunal de Grande Instance de Lorient;8315;9364;8635;2318;6464;4994;14912;22;7;29
82;170483;450387;1096134;1073331;25224.25806451613;166853;339688;273471;8447.407407407407;0.33324691358024683;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Lyon;119941;137721;105892;20300;91375;98190;224910;108;37;145
83;371351;93919;204290;212776;20928.051948051947;43800;85709;36261;8454.666666666666;0.3327333333333333;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Mâcon;7394;4649;6545;1479;6461;7606;12868;12;4;16
84;43252;89011;207868;199132;25400;30293;72796;50956;8835.78947368421;0.30268421052631583;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Marseille;13022;8659;11566;1398;6955;7283;18066;110;42;152
85;221359;265925;692799;674748;24990.13452914798;97349;234665;150587;8302.631578947368;0.3446666666666668;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Meaux;28843;22876;20819;5099;20929;22862;34299;47;18;65
86;230310;196193;511720;506637;24736.31868131868;76322;178946;104168;8189.411764705882;0.3536470588235294;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Melun;36905;33654;26104;5537;16267;29871;39110;35;13;48
87;517432;31726;67875;72348;18107.47899159664;13377;30577;15031;8666;0.3162;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Mende;691;511;816;245;1111;594;1471;6;2;8
88;380995;213581;483669;515023;22362.450980392157;85385;191414;106910;8334.722222222223;0.34219444444444436;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Metz;20525;29248;20015;4222;15160;13277;25004;50;13;63
89;316982;83762;189812;192290;20984.06015037594;42208;75753;27095;8194.5;0.35319999999999996;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Montargis;4126;2671;3091;879;2856;2452;4854;10;3;13
90;373028;108147;253025;250342;18807.747252747253;49315;98111;45855;8203.684210526315;0.3524210526315789;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Montauban;1497;1358;1366;359;1016;635;2642;16;5;21
91;107472;70938;162296;167063;24471.472868217053;34966;62260;26713;8156.666666666667;0.35627777777777775;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Montbéliard;8176;5896;6344;1016;5280;3352;9344;10;4;14
92;614002;79870;177195;178284;20013.353658536584;30741;77888;32568;8357.142857142857;0.34028571428571425;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Mont-de-Marsan;1120;1254;932;278;962;1022;1628;12;5;17
93;212530;50795;104761;110755;19167.674418604653;;;;;;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Montluçon;2460;3198;2562;618;1767;2382;4281;7;2;9
94;323829;352006;777535;782655;21654.514285714286;107437;256698;218442;8416.617647058823;0.3357352941176469;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Montpellier;16951;17041;15587;3478;16415;12563;28699;52;15;67
95;257572;40564;85882;89657;19187.926829268294;10;31;7;0;0;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Moulins;2049;1263;1323;342;1449;2712;2802;11;3;14
96;181662;198637;464588;475398;28495.82222222222;84923;180182;89232;8266.764705882353;0.3474705882352941;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Mulhouse;10018;8860;7766;1520;7496;4534;8682;41;10;51
97;413439;234319;518548;566062;21804.164456233422;84920;195429;122026;7970;0.37090243902439024;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Nancy;36628;42324;31400;6805;15900;26852;56273;44;17;61
98;17722;685922;1589663;1598385;30590.27027027027;171325;353299;607479;7755.555555555556;0.38783333333333353;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Nanterre;9955;11387;7859;1565;5812;7014;21316;108;36;144
99;441990;423934;983774;961066;21188.115942028988;115172;331903;267457;9290.869565217392;0.2667934782608694;PAYS DE LA LOIRE;52;Tribunal de Grande Instance de Nantes;18050;25727;17497;4590;10242;10592;32558;49;24;73
100;177925;75819;160384;158495;17795.466666666667;30034;66645;29658;7928.75;0.3740625;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Narbonne;2146;1478;2196;493;1774;2164;2893;11;4;15
101;686183;94879;192994;214949;19295.381679389313;44716;89052;31274;7944;0.37306666666666666;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Nevers;3309;1995;2193;1160;2602;2686;6669;14;4;18
102;305381;252332;531401;520433;21560.843373493975;;;;;;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Nice;6452;6287;5649;838;4703;4952;9316;48;16;64
103;314172;237163;545600;544941;21002.71186440678;93850;199992;116593;8391.40350877193;0.33778947368421064;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Nîmes;5917;5293;5067;1065;4298;3724;8634;38;13;51
104;603883;154609;349831;351624;19294.819277108432;73600;145353;65286;8661.515151515152;0.31648484848484854;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Niort;3944;3337;3030;1223;3738;2505;5794;16;5;21
105;10539;1032268;2067590;2229621;29140;209819;393857;984752;7090;0.44;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Paris;12392;13721;10843;1605;10072;12240;39068;364;136;500
106;539310;165686;366743;378066;20902.853403141362;52581;148247;86697;8320.4;0.34331999999999996;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de grande instance de Pau;11080;12971;10524;2801;8578;6850;18723;22;6;28
107;554956;113447;238886;244101;18796.150793650795;51439;106084;42170;8243.75;0.34937500000000005;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Périgueux;2624;1770;2288;982;3050;1322;5990;18;5;23
108;413631;213726;455496;462705;18758.114285714288;87109;186678;89074;8086.785714285715;0.3618035714285714;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Perpignan;7328;5485;6420;1757;5762;5455;11555;35;12;47
109;703736;183503;403361;420940;19382.281368821292;73958;157966;85076;8831.75;0.303;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Poitiers;7246;10826;5896;1798;3585;5777;10955;25;8;33
110;125225;456801;1239348;1194595;26485.898876404495;189927;377455;269219;8226.8;0.35070666666666656;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Pontoise;37623;24960;27517;5749;19136;34372;57768;71;30;101
111;556481;140230;312112;319353;19018.322368421053;;;;;;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Privas;10309;13141;8625;2569;9100;9422;14973;16;5;21
112;347419;179855;382712;383763;20457.6;54324;160525;82508;9182.777777777777;0.27525925925925926;BRETAGNE;53;Tribunal de Grande Instance de Quimper;3084;3001;2663;719;2867;3030;5608;20;7;27
113;171217;132546;294945;312629;26708.819875776397;50471;100844;68739;9013.636363636364;0.2885454545454545;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Reims;10468;15950;8851;1544;4424;5828;10270;23;8;31
114;587233;364369;851844;853401;20714.191176470587;115348;289294;215764;9090.515463917525;0.2825051546391752;BRETAGNE;53;Tribunal de Grande Instance de Rennes;15528;20232;15824;4848;12129;12116;29220;44;19;63
115;179096;68491;150581;156636;19468.938053097347;32219;62344;24970;8550;0.3252727272727273;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Roanne;3037;2298;2284;587;1915;1955;6315;10;3;13
116;877213;123842;266649;277124;18801.58088235294;51439;113572;53513;8746;0.3097;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Rodez;4178;2532;3054;1042;3268;3252;5609;13;4;17
117;227539;275826;618882;650176;22501.222222222223;115079;223036;130429;7744.090909090909;0.38881818181818173;NORMANDIE;28;Tribunal de Grande Instance de Rouen;75048;129178;74872;20042;55430;41878;107804;39;13;52
118;555774;213238;465670;468484;19429.08396946565;77394;192764;94172;8893.442622950819;0.2981475409836066;BRETAGNE;53;Tribunal de Grande Instance de Saint-Brieuc;7747;6376;5914;1662;5161;5029;14776;25;7;32
119;461419;129861;277428;275535;18858.317757009347;56652;120473;44690;8420;0.33552380952380956;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Saintes;9251;8705;9188;3518;9933;7370;22275;15;4;19
120;300767;254128;581953;599385;21146.79802955665;107980;220545;109807;8647.272727272728;0.31752272727272723;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Saint-Etienne;20127;18505;14595;3296;12824;14170;25178;34;10;44
